,口コミ,投稿日
4288,７か月の子どもを連れて、初めての旅行で宿泊しました！おむつポットなどの用意をしてくれて、とても良かったです。赤ちゃんを入れるので、部屋付き露天風呂にしましたが、シャワーや水道がないので、入れずらく部屋についてるのより、貸し切りにすれば良かったと思いました。朝と夜のバイキングでは、種類が豊富で離乳食として食べられるものもありとても助かりました！初めての旅行で良い思い出ができました！,2022/7/6
4289,ホテルはすごい綺麗でした！観光地からも近く、芦ノ湖周辺で宿泊するならとてもオススメです！露天風呂付客室に泊まりました。部屋からの眺めは湖畔側の部屋を予約したので期待していましたが、木が多く、芦ノ湖が見えませんでした。しかし、食事や部屋の広さ、清潔感は満足でした！,2022/7/6
4290,夕食も朝食も味は普通でした。品数は少なめと感じました。ブュッフェで美味しいホテルが今沢山あるので、比べるとちょっと残念な感じでした。ロビーからの景色や施設の清潔感は良かったです。温泉は源泉掛け流しに比べると物足りないですし、総合すると可もなく不可もなく普通でした。,2022/7/5
4291,今回訪れた時期は梅雨の時期ということもあり雨模様でしたが、施設、サービス、部屋、食事、お風呂どれも素晴らしく大満足です。まずエントランスの扉が開くと目の前にあの水盤テラスが見えて、ロビーがとても見晴らしが良く感動しました。スタッフさんも写真を撮るのを手伝っていたり、気配りが行き届いていると感じました。また、チェックイン・アウトをしてくれた方、夕食・朝食会場で案内してくれた方、館内ですれ違った方皆さんとても感じが良いです。部屋は今回湖畔側スタンダードルームを３人で利用しました。泊まる前は大人３人は狭いかな？と思っていましたが、全然圧迫感が無くゆっくりできました。そして全てが綺麗で清潔感があります。何より印象に残ったのは部屋から見える新緑と芦ノ湖、早朝の綺麗な鳥の声です。静かな時間と空気が大変気に入りました。最近ずっと、景色が良く自然を感じられるホテルに泊まりたかったんです。お風呂は温度も丁度良く気持ち良すぎて夜も朝も入ってしまいました。サウナがあるのも良いですね。脱衣所のドライヤーがダイソンでスチーマーもありタオルも沢山あるのでとっても快適でした。食事は夕食・朝食共にバイキングで想像以上に良かったです。小皿で色々なものをちょっとずつ食べられるのが楽しく、メインのお肉もお魚も、朝の焼き立てクロワッサンも全て美味しく満足です。今回一つ心残りなのは館内が快適すぎてホテル周辺をお散歩出来なかったこと。次伺う時は是非散策したいと思います。素敵な滞在をありがとうございました。,2022/7/4
4292,部屋は全体的に綺麗でお掃除が行き届いていました。カップルが多く賑やかなイメージ。ゆっくり過ごしたい方には向かないかも?ロープウェイが近くにあり大涌谷にアクセスしやすくよかったです。芦ノ湖エリアは初めてでしたが良い経験になりました。ありがとうございました。,2022/7/4
4293,安いお部屋にしか泊まれない私ですが、本当にスタッフの方が親切です。小田原駅からの送迎バスの運転手さんには、「お久しぶりです」と何気なく声をかけていただき、フロントでも「いつもありがとうございます」と受け入れで下さいます。食事の際は、レストランスタッフが「またきましたね〜」的なフレンドリーさが一人旅のわたしに心強く感じます。ただ、いつもお話をしてくれたスタッフの方が退職されたと他のスタッフから伺いました。「よろしくお伝えください」と伝言を預かっていますと…素敵なスタッフさんに囲まれ、豊かな自然、絶景な芦ノ湖、ゆったり疲れる大浴場は本当に癒されます。老若男女、楽しめるはなをりさんなので是非、伺って欲しいです。ただ、とても人気なお宿なので早めの予約がよいと思います。あ、お部屋のバリエーションの色々あるみたいなので、ずっとお部屋で楽しむのもよいかもしれません。,2022/7/4
4294,早めの梅雨明けでお天気にも恵まれ最高のロケーションに囲まれてリフレッシュできました宿泊されている方で賑わっていましたが、チェックインからアウトまでとてもスムーズでしたお食事処も朝夕すぐに案内していただき、並ぶ事なく好きな物を選びに行くことができました小さな事ですが、パンにバターをつける時、木のマドラーのようなものがありとても使いやすかったです　(今までは、小さなバターやジャムにバターナイフを使うことが殆どでしたが)お部屋は湖水側でしたが木が生い茂りあまり湖が見えずイメージと違ったのが残念でしたが室内はきれいでソファーもすわりやすくベランダも気持ちが良かったですまた温泉は、最高でした！何回も利用しましたが混雑することなくのんびり満喫しました露天風呂の自然なお庭は周りの大自然に溶け込み本当に気持ちの良いお風呂で、いつまでもいられる空間でした今回こちらのお宿で過ごすことができて本当によかったです次回はぜひ子どもたちも一緒に家族で来たいと思います　素敵な時間をありがとうございました,2022/7/2
4295,日曜の宿泊でしたが、紫陽花の季節だからでしょうか、恐らく満室だったと思います。3時半過ぎ位のチェックインでしたが、混雑していて、夕飯の予約が8時になってしまったのは、少し残念でした。遅い時間のブッフェでしが、お料理の補充は迅速なので、気分良く美味しく頂きました。朝食の野菜ジュースが、新鮮でとても美味しかったです。是非頂いてください。女性は綺麗な色の浴衣も選べますが、部屋に作務衣が置いてあり、浴衣が苦手な方は、それも利用出来ます。配慮が行き届いてると感じました。アメニティも充実してますし、浴場にタオルが置いてあって、部屋から持って行かなくても大丈夫です。一泊でしたが、滞在中は心地よく過ごせました。前から気になっていたお宿でしたので、本当に満足です。また利用したいですし、お勧め出来るお宿です。,2022/7/2
4296,"ゴルフの行き帰りに車からいつも見上げていて、湖を見下ろすように建つ姿がとてもいい感じだから泊まってみたかった。県民割B 6,000円引きとCp2,000円、さらにPt3,100円を使い、背伸びして予約したけど、二人でまだ23,550円＋300円はいい値段だ。風呂は内湯も露天も広いけど、湯船に浸かりながら芦ノ湖は見えない。初夏SALEカジュアルツインだったせいか、駐車場側に窓がある部屋で、広さも内装も新しいビジネスホテル並み。料理の品数や品質はそれなりに工夫されていて美味しかったけど、それほどお得感はなかったな。",2022/7/2
4297,平日一泊利用でしたが、チェックイン時は順番待ちの列ができるほど多勢の人で、かなり待たされました。共用棟（ロビー、食事処、お風呂）から宿泊棟へ向かうのに、エレベーターで一度１階まで降り、長い通路をジグザグ歩いて、宿泊棟の部屋までエレベーターで上がるといった造りで、高齢の母は少し面倒に感じたかも。館内、お部屋は清潔感あり、快適に過ごせました。湖畔側のお部屋を選びましたが、湖畔の緑がかなり生い茂っており、湖は少し望めた感じです。湖畔まで歩いてすぐなので、早朝散歩は気持ち良かったです。,2022/6/29
4298,母と2人で宿泊しましたが、基本的にすべて◎でした！ラッキーだったのが、お部屋のバランス調整の為(フロントのスタッフさんが仰ってました)、露天風呂付きのお部屋を用意してくださいました！ありがとうございます。その分、1番奥の部屋ということでメインの共用館から離れていましたが、50代の母と20代の私であれば何も問題ありませんでした。(歩くのが大変な方や小さなご家族連れは近いお部屋に調整という理由で変更だったのかな……？と理由を勝手に想像してました。違っていたらすみません…)月曜日の宿泊のわりに、食事スペースやロビーは賑わっていて人が多いなーと思いましたが、ご案内はとてもスムーズでした！20:15の夜ご飯でビュッフェが好きな母は「ご飯残ってるかなー…」と心配しておりましたが、全然問題ありません、どんどん出てきます！そしてとても美味しかったです。ステーキやデザートはもちろん、小鉢も一つ一つ丁寧で、おしゃれ且つ美味しかったです♪大浴場も綺麗でアメニティも揃ってます。持ってくるの忘れたと思っていたら、ボディータオルも揃っていたので大変助かりました。アメニティバー良かったです◎桃源台駅からすぐなので、車無し電車旅の私達でしたが利便性はバッチリです。母もとても満足しておりました、ぜひまた宿泊させて頂きます！,2022/6/29
4299,泊まってみたいなぁと思っていたので、主人の誕生日お祝いで泊まりにきました。お天気も良く、フロントから芦ノ湖も見れて景色は最高でした。お部屋は湖畔側で、湖はそれほど見れませんでしたが、テラスでゆっくりと新緑と鳥の声を聞きながら過ごせて仕事で忙しくしている主人も癒されている様子でした。このくらいのクラスだとお部屋にコーヒーが飲めるようになっていることも多いのですが、残念ながらコーヒーの用意はないので、持参すればよかったなぁと。その代わり夕食や朝食の時にお部屋に持って行けるように準備はされていました。部屋には畳のスペースがあり、下に座ってゆっくり過ごせるのもよかったです。フロント、大浴場やお食事に行く時はかなり距離があるので、父や母を連れて来るには、、、難しいかなぁと思いました。その代わり満室でお子様連れも多くいらした割にはとても静かでよかったです。食事はビュッフェスタイルでしたので、好きなものが食べられて主人は満足していました。メインが少なくて私は残念。食事全体の印象は普通でした。。。お魚は美味しかったですが、お肉の味がイマイチでした。。。ビュッフェスタイルだったので、お誕生日プレートも正直期待してなかったのですが、期待を裏切る素敵なプレートでした。ありがとうございました。主人が喜んでくれたので、良かったです。いい記念になりました。,2022/6/29
4300,以前王様のブランチで特集されており、その頃から行ってみたいと思っていました。館内は明るくとても綺麗で、足湯や水盆からの芦ノ湖ビューが絶景でした。朝夕のバイキングは種類はそこまで多くないですが、どれも美味しく、全種類食べられるくらいの量でちょうどよかったです。温泉は広くて気持ちよかったのですが、露天風呂からの景色は写真の方が綺麗かなぁという感想でした。また利用したいと思います。,2022/6/28
4301,ロビーと部屋は明るくて綺麗。大浴場は温度差のある三つの湯船、寝湯のある露天風呂、広いサウナと水風呂もあり大満足。朝食は普通に良かったが、夕飯のステーキはバイキングでは過去最高レベル。焼き加減も素晴らしい。沢山の小鉢前菜は非常に楽しい。ただ煮炊き物類は甘くボケたような味付けが多く、味付けが個人的には合わない。雨で部屋のバルコニーには出れなかったが、冬場以外ならバルコニーの椅子に座って芦ノ湖を見ながら至福の時間を過ごせると思います。総合的には高いレベルの宿でした。,2022/6/27
4302,フロントでのおもてなしもとてもよくいい気持ちで入館することができました。あいにくの濃霧でしたが逆にそれも幻想的でとてもよかったです。お風呂に関してはサウナもありシルキー風呂もあり楽しめるお風呂だと思います。ご飯はビュッフェ形式でどの料理もほんとにおいしかったです。絶対に次も利用します！,2022/6/26
4303,夫婦で利用させて頂きました。全体的にシンプルで清潔感があり満足です。特に気に入ったのが朝食夕食がとても美味しかった事と温泉も露天風呂が気持ち良かったです。ダイソンのドライヤーが使えて嬉しかった。アメニティの体洗い用ネットも嬉しかった。また利用したいです。,2022/6/26
4304,結婚記念日で以前から気になっていたので予約しました。子供の浴衣が、用意してくださっていたサイズでは合わなかった為、どぉしようかと思いつつ大人の浴衣を選びに...そこに現れた女性の従業員さんに伝えると、笑顔で対応して下さりすぐ部屋まで持って来て頂きました。水盤テラスでの写真も、これでもかってくらい沢山撮って頂きました。お部屋から芦ノ湖が一望出来、大きいお風呂に子供達も大喜びでした。貸切風呂も良かったです。帰って着てからも、あのホテルいつ行ける？とお気に入りにっ。また近々伺う事になりそうです。,2022/6/23
4305,週末は高額で予約も取れないので平日狙いで念願のはなをりへ。口コミ通りの素敵なお宿でした。食事はもちろんですが一番感動したのは温泉です。入る前は夫婦揃ってガサガサな踵と肘がツルツルになりました。お部屋は安さ重視した為にビジネスホテル並みの狭さに景色は駐車場でしたが清掃が行き届きとても綺麗でした。又、温泉やダイニングが近いのは良かったです。次回はケチらず(笑)湖の見えるお部屋に泊まりたいし早く、年内に訪問したいです。後、忘れ物してしまって、すぐに郵送してくださり助かりました。綺麗な梱包とお手紙も添えてあり、ありがとうございました。,2022/6/23
4306,建物が横長だったので、お風呂、食事処へは、ずーっと歩かなくてはならなかったので、なかなかたどり着けませんでした。食事は、夕食、朝食共種類が多く、美味しく頂けました。ちょっと残念な感じがしたのは、アメニテーが、ホテルには合わない、ちょっとひんそな感じの品て感じがしました。あと、ショップのアイテムが少なく残念でした。,2022/6/22
4307,お部屋は写真通りとても綺麗で部屋風呂も少し熱めでしたがよかったです！料理は健康食が多くがっつり食べたい方にはすこし物足りないかもしれないです。味は美味しかったです！夜中に子供がおねしょをしてしまいフロントに電話をするとすぐに対応していただけました。とても申し訳なく謝罪していたら『お子様をおこらないでくださいね。しょうがないことなので。』といって優しく対応していただきほんとにありがたかったです！子供が終始食事中やチェックイン、アウト時に騒いで申し訳なかったですがみなさん嫌な顔せず対応していただけて家族連れにオススメです！貸切風呂の利用をしていないので今度訪れたらぜひ利用してみたいです！,2022/6/21
4308,以前から、一度は泊まってみたいと思っていた宿でした。芦ノ湖のすぐそばにあり、ロケーションは良かったです。１５時少し前にチェックインしましたが、フロントは列ができていて、かながわ旅割の接種証明書の提示などで時間がかかっている様子でした。窓口が4箇所あっても、１０分程待ったと思います。客室数が多いから仕方ないことだとは思います。アメニティはエレベーターホールに置かれており、選んで持っていく形でしたがビジネスホテル感が拭えませんでした。部屋は狭く、湖は見えましたが木の間からで、あとは雑草でした。隣の部屋に赤ちゃんがいたようで、夜泣きが聞こえて何度か起きてしまいました。隣室や廊下を歩く人の声がよく聞こえます。部屋のテレビから大浴場の混雑が確認でき、空くのを待っていましたが、一向に混雑のままなので23:40頃出向いて５分でもいいからと、浸かりに行きました。そしたら係の方に、「今からですか？24時までです。」と言われてしまい、ご迷惑だったようです。実際、大浴場を出たのは23:50でしたが…。いろいろ書いてしまいましたが、ここはハイクラスなのだろうか？と疑問に思うところがあり、残念な気持ちになることがいくつかありました。期待しずきてしまったようです。ただ、夕食は端の席に案内してくださり、とても有難かったです。一人旅だと目立ってしまうので、気兼ねなく楽しめました。お世話になりました。,2022/6/19
4309,食事ごとても良かった、肉、野菜等の素材も良かったし朝食の焼き立てパン（特にクロワッサンは今までで１番だった。,2022/6/19
4310,交通の利便性がいいのが最初に選んだ理由ですが、明るく清潔で、スタッフの対応もよく気持ちよく過ごすことができます。実家を離れて仕事をする娘との恒例になりました。夕食で籠に小鉢を選ぶ前菜が目も舌も楽しませてくれ、娘の一番のお気に入りです。またお訪ねできますようにと願っています。,2022/6/19
4311,桃源台から歩いてすぐの立地なので、海賊船に乗るにも、ローブウェーに乗るにも、とても便利です。建物は、とてもきれいです。ロビー階にある足湯や水をためた庭からは、芦ノ湖の自然が一望できて、とても癒されます。食事は、ビュッフェ形式で、種類がたくさんあって、満足しました。味も、とても美味しかったです。部屋からは、芦ノ湖が見えて、また、朝には鳥の鳴き声がして、とてもリラックスできました。部屋からお風呂までは、少し距離がありますが、良い運動になり、食事がよりおいしく感じられました。従業員の方の対応も素晴らしく、滞在は、とても快適でした。箱根に行ったら、是非一度は泊まりたいホテルですね。,2022/6/18
4312,お部屋も大浴場も綺麗に保たれており、滞在中気持ち良く過ごせました。お食事も美味しくいただきました。また、再訪したいお宿です。,2022/6/15
4313,先日彼氏の誕生日で客室露天風呂付のお部屋に宿泊させて頂きました。スタッフのみなさんの気遣いや、館内や客室の雰囲気もオシャレで大満足でした。しかし、事前にバースデープレートを予約していたのですが、夕食時に前後に座っていた方々、二組もバースデープレイトを準備していたため、私がお願いする前にほかの方がバースデイプレイトを出してしまい、サプライズにはなりませんでした。少し残念でしたが、彼氏が笑っていたので楽しい思い出として刻まれたので、一つの笑い話として捉えることが出来ました。スタッフの方もサプライズが成功するようにと言って頂けていたので、席の割り振りはもう少し工夫したほうが良いのではないかと感じました。初めての箱根旅行で多くの旅館のなかからはなをりを選んでよかったと思っています。ありがとうございました。,2022/6/15
4314,前回はお部屋に余裕があったのか湖側のお部屋にランクアップしていただきゆったりと優雅に過ごしラッキーでした。今回もちょっと期待しましたが予約通りの駐車場側コンパクトなカジュアルツインでした。一人旅には十分で景色はロビーに行けば足湯もあり、ウエルカムドリンク飲みながら湖の景色見れます。,2022/6/14
4315,静かな立地、綺麗さ、接客、部屋、ご飯、どれを取っても素晴らしかったです。ご飯は美味しかったのですが…子供の機嫌によっては、ビュッフェは少し大変でした…個人的な事情ですが、その為ご飯は星4つにしました。貸し切り露天風呂も予約し、家族皆んなで入れたので、良い時間が過ごせました。,2022/6/13
4316,素敵な宿でした　食事もお風呂も良かったスタッフの方々の対応も良く感謝してます芦ノ湖の遊覧船やロープウェイ乗り場にも近くて良かったですまた行きたいです,2022/6/11
4317,小田原駅からの送迎バスを利用したのですが、チェックインに合わせた時間は満員でした。バスは要予約なので座れないという事はありません。当然チェックインも並びます。フロントからの景色も開放感があり足湯もあってとてもよかったです。朝夕食はビュッフェ式ですが、オーダーして作り立てをいただけるメニューもあり美味しかったです。私が行ったときは肉料理でした。スイーツも充実しており満足でした。大きいホテルなので館内が迷子になりそうなくらい広いです。,2022/6/9
4318,バイキングだから、とあまり期待していませんでしたが、小鉢も種類多く女性向け。ステーキは固いにくとかありがちですが、柔らかかったです。主食のボリューム感にに欠けるかも。天ぷらやお寿司といった、定番がありませんでした。あとなにより、部屋が遠いー。はじからはじまでどれだけあるくの？というくらい長い距離を歩かされ、祖母をつれていたので大変でした。この辺、予約時に教えてもらえるとありがたかったです。清潔感もあり、宿は良かったです。おふろは朝と夜で入れ替わりますが、どちらも変わらずでした。内容が違うとか、あればなお良かったです。子供の浴衣が色が選べず、女の子は不満そうでした。お部屋にもおふろがついていて、子供は楽しんでしました。,2022/6/6
4319,コメント欄に、結婚記念日旅行と入れたところ、平日だったので、湖側のお部屋に空きあったので、無料でグレードアップして頂き、山側の部屋と湖側のお部屋からの景色の違いに、次回からは湖側にしようと思いましたお天気も良かったので、最高でした神奈川割もあり、とても得した気分で、良い記念旅行の思い出になりましたはなをりリピーターになりそうです足湯エリアもお洒落で、ライトアップも素敵でした食事も小洒落た小皿に沢山のお菜が有り、ついつい食べ過ぎちゃいますデザートも別腹、全種類食べ尽くし満足次回も楽しみです,2022/6/1
4320,見晴らしも、写真映えもそれなりに良いが、足湯は虫だらけで定期的に取り除くわけでもなく、入館しても案内も挨拶もまちまち。荷物をクロークに預けたが、部屋に運んでいるわけでもなく何で預かっていたのかよくわからなかった。朝食の時間の案内も客任せで、コロナ時期なのに人流の管理もなく、金額の割に？がたくさんついた。接客がとても素晴らしい人もいるのに、これはどうなの？って思う人が多々見受けられ残念でした。,2022/5/31
4321,評価が高いと聞き宿泊しましたが夕食時毛髪混入有、又もう少し品数有れば（寿司等）他のサービスは申し分ないのですが毛髪混入とその対応が残念です,2022/5/28
4322,とても静かな芦ノ湖湖畔に佇むホテルです。少し高くても芦ノ湖サイドの部屋がおすすめです。夕朝と芦ノ湖の色々なシーンが楽しめます。食事は期待していたのですが、ふつう〜でした。お風呂は露天の寝湯が芦ノ湖を見ながら楽しめますが、3ベットしか無いので、混み出すとのんびり入るには少し気を使います。総合的には、清潔感溢れコロナ感染症対策もしっかりしていますので、安心して泊まれるお宿でした。お世話になりました。,2022/5/28
4323,かながわ旅割を利用したので、とてもお得ででした。直前までクーポンが出なかったので利用できるかドキドキしました。無事にクーポンが出てホテルの方にも協力していただきキャンセル料が発生しない形で予約しなおせました。が、せっかく予約しなおした物までホテル側にキャンセルされてしまい、担当者さんから慌ててお詫びの連絡がありました。再度予約はとれましたが、こちらも慌ててしまいました(笑)ホテル側にお手数をおかけして申し訳なかったです。１泊で荷物がリュックだったのですが、新人さんがカートを使わずに一生懸命持ってロビーまで運んでくださいました。その後、何度か泊まっているからか支配人さんか副支配人さん?からご挨拶いただきました。水盤テラスなどで写真を撮る時にスタッフさんがその場にいなくてもどこからとなく現れて、必ず「お写真撮りましょうか」とお声がけしていて、新人さんのスタッフさんも何名かいて、みんな食事会場などでも一生懸命頑張っていました。スタッフ教育はできていると思います。初めてカジュアルツインにしましたが、母の為に要望に答えていただいたき感謝です。山側なので眺望は期待しませんでしたが、ちょうど部屋の外の上に燕の巣があり、燕が出たり入ったりで可愛かったです。作務衣(これははだけないのでとても良い)、靴下、かご、巾着(素材が変わった)があるのは嬉しい。歯ブラシなどは以前は部屋にありましたが、今回はエレベーター前に置いてあり、必要な物を各自持っていく形(全国的にプラのエコの為かと)浴衣は何種類か大浴場の階のエレベーター前にあり選べます。お風呂は夜と朝で男女入れ替え制。サウナが違い、私はミストサウナが気に入っています。コロナが落ち着いてきたからか、タオルが脱衣場にきちんと用意されていました。ダイソンのドライヤーも嬉しい。食事はいつも季節感があり種類も多く全種類食べられませんが、とても美味しいです。夕食は焼き物が今まではいつも柔らかいステーキと魚だったのですが、今回はステーキとアスパラ肉巻きでした。「魚が良かった」って言っていた人もいましたが、岩塩をパラパラかけた一本アスパラ、とても美味しかったです。私達は気に入りました。デザートも焼きプリン?美味しい。以前あったシュークリはなく残念。朝はパンケーキが海鮮茶漬けに変わっていて美味しかった,2022/5/25
4324,ツツジ満開、富士山くっきり、芦ノ湖新緑で、その上評判通りの素敵な宿で、初めての子無し家族旅行は、大成功でした！水盤、足湯、館内も素敵で、あちこちに写真に残したいポイントがあって、帰宅してからも楽しめました。お料理、お風呂、寝心地は文句無しです！,2022/5/23
4325,３年ぶりの旅行で、わくわくしながら、やっと来れました。季節・旬を感じる料理は美味しくて、良かったです。部屋に露天風呂があったのもとても良かった。,2022/5/17
4326,結婚記念日に箱根に旅行しようと友達夫婦とお邪魔させていただきました！若い子向けのホテルかなと思いつつチェックイン。まず印象に思ったのが受付の方からすべてスタッフの方がとても感じがいいのです。マスク越しでも笑顔で挨拶して下さりとても気持ちの良いものです。食事は、ブュッフェなので失礼ながらそんなに期待してませんでしたが、とても美味しくて何回もおかわりしてしまいました。朝食も同じく美味しかったです！露天風呂付きのお部屋でしたのでこれもちょうどいい温度でほんとに心地良かったです！また箱根旅行する際には、こちらにお世話になろうと思います！,2022/5/17
4327,期待したとおり素敵な宿でした。ロビーでくつろいだり、足湯につかって芦ノ湖を眺めたり、美味しくて種類豊富なお食事を楽しんで、お風呂も浴衣やアメニティもいたれりつくせり。何よりスタッフの方がそばにいて、写真をとってくれたり食事のサービスをしてくれたりとても親切でした。送迎もあり、また箱根に行くときはリピートしたいです。,2022/5/13
4328,接客が素晴らしく、館内も清潔でとても快適に過ごせました。母娘旅行でのんびり出来ました。また宿泊出来たらと思っています。,2022/5/13
4329,友人4人で利用しました。スタッフのサービスがとにかく最高です。部屋も清潔で居心地が良くのんびり癒されました。食事も素材が良く丁寧な仕上がりに大満足でした。また行きたいホテルです。,2022/5/12
4330,女子に人気がありそうな佇まいの素敵なホテルです♪バイキングも小さな器で一つずつ小分けに入っていて選ぶのが楽しい感じのスタイルです。メインの料理はステーキとアスパラ肉巻きでボリューミーでした。母の日で2人の母を連れて行きましたがとても喜んでいました。ありがとうございました。,2022/5/11
4331,人気のホテルだったので、いつかは利用したいと思っていました。口コミ通りのステキなホテルでした。宿泊した部屋が二階で眺めが残念だったので、次回は三階以上に泊まってみたいです。,2022/5/11
4332,1泊での利用です。フロントはとても明るくウェルカムドリンク等がありました。部屋からの景色もよく清掃もしっかりされておりとても綺麗です。大きな建物なので大浴場は少し遠く感じましたが、広々としていてゆっくり浸かることができました。アメニティもたくさんありタオルも何枚でも替えられるのでとても便利です。夕食、朝食ともにとても美味しかったです。特にお味噌汁とクロワッサンの美味しさには驚きました。スタッフの方々も接客が素晴らしくまた利用したいです。ありがとうございます。,2022/5/10
4333,部屋の綺麗さ、食事、サービス等全部がすごく良かったです！ご飯はバイキングでしたが、一品一品、コース料理で出てきてもおかしくないくらい美味しくびっくりしました！また、写真スポットではスタッフの方が率先して写真を撮っていらっしゃって私たち夫婦も夕方と朝2回写真撮ってもらいました。すごくいい新婚旅行になりました。ありがとうございました！,2022/5/7
4334,今回、家族旅行で　初めて利用させて頂きましたが　とても素敵で　清潔感溢れ　スタッフの方の対応も素晴らしいホテルでした。ホテルに到着した時から　スタッフの方の対応が素晴らしく　とても可愛くて素敵な水盤テラスがあるんですが　携帯で写メを撮ろうと思っていると　フロントから　すぐにスタッフの方が来てくれて　お撮りしましょうか？と...声をかけてくれ　とても親切で気分が良かったです。　ホテル内もお部屋も　とても清潔感溢れていました。　廊下ですれ違うスタッフの方も　必ず声をかけてくれ　気持ちが良かったです。　ただ　今回泊まった露天風呂付きのお部屋が　フロントから遠くお部屋と大浴場やフロント、レストランの行き来が大変でした。　もう少し容易に行き来できると最高だったと思います。　お部屋からは芦ノ湖も見え静かでのんびりくつろげました。　また　機会があれば是非、行きたいと思います。　今回は大変お世話になりました。　ありがとうございましたm(_ _)m,2022/5/5
4335,以前から宿泊したい宿でした。フロント、レストラン等、スタッフの接客が素晴らしかったです。ロビーがお洒落な感じで、素敵でした。ロビーから外へ出ると足湯があり、夜…選曲のいいBGMを聴きながら入りました。その隣には、このホテルの一押しとでもいいましょうか…少し歩いて行った先には円形の椅子があり、2度も写真撮影しました。お部屋は、湖畔側スタンダードルームを選びました。お部屋のテラスからは、芦ノ湖と山々が見えて、とても癒されました。なかなかあれ程の景色は観れないと思いました。お風呂は、洗い場が１人ずつ区切られているのも良かった点の１つです。大浴場も広々していて、露天風呂も広々としていて、解放感もあり、主人も大きくていいねぇと言っていました。夕食は、先付けを選べましたし、その後は焼きたてのお肉をテーブルまで運んで頂けました。普段、あまりお肉を食べない私が美味しいなぁと、お代わりして食べました。その他のお料理もとても美味しく頂きました。朝食も美味しくて、夕食同様食べ過ぎてしまいました。100点満点のホテルです。チェックインの時、後ろの方から見知らぬ女性が、何度も宿泊してるから…とお話ししている声が聞こえました。それ位、素敵なホテルでした。また是非とも宿泊したいです。スタッフの皆さま、お世話になりました。,2022/5/4
4336,お部屋・お風呂・お食事・接客評価通り、良きです。ただ部屋によっては手狭に感じる場合あり。ラウンジの眺めが良く程良いBGM足湯に入りながら九頭竜生ビールが飲める最高のロケーションでした。夕・朝共にブッフェでしたが、どれも美味しく小皿料理を選ぶ楽しさもあり良かった。ただ朝食は時間を聞かれた割に待たされたので夕食同様に時間で入替制にして頂くと密にならない気がしました。他はコロナ対策しっかりされており安心して過ごせました、ありがとうございました。たまたまかも知れませんがラウンジでお子様が騒いでいたので時間帯で利用制限して頂けると静かに過ごしたい人には良いかと。朝食会場でもお子様なので遊んだり騒いだりは致し方ありませんがエリア分け等工夫が欲しい大人も子供も気にせず食を楽しめる様に。おもちゃを床に広げて遊んでいましたので楽しそうでしたが食事をする場所ですので気になりました。総合的には又行きたいと思わせてくれる素敵な宿でした。,2022/5/4
4337,こちらのお宿が好きで、何度かお世話になっています。体調が不安定なことが多く、なかなか再訪できていなかったのですが、ようやく念願叶って伺いました。今回残念だったのは、お手洗いのゴミ箱、いわゆる汚物入れが交換されておらず、満タンでした。。もちろん交換してもらいましたが、今までたくさんの旅行をしてきた中で、リーズナブルな宿でもこのようなことはなかったので、今回のような高級なお宿でまさかこんなことが起こるとは、とショックでした。コロナ禍で大変な状況かと思いますが、それでもやはり最低限の「清掃」は徹底していただきたいです。お食事やお風呂と同じくらい、行き届いた清掃によるお部屋の快適さというのも宿に求められる重要な要素ですが、今回この件によって割高と感じてしまいました。今後もお世話になりたいと思いますので、改善のほどよろしくお願いいたします。,2022/5/1
4338,部屋は畳にソファーで、くつろげました。リゾートマンションのような感じでしょうか。芦ノ湖の空気をたっぷり感じてよい旅になりました。夕飯の小鉢が色とりどりで良かったです。,2022/4/30
4339,朝・夜のご飯（ビュッフェ）がとても美味しく、浴衣の袖が汚れないようにとゴムの用意もありました。細かいところの気配りが嬉しかったです。お部屋も清潔で、部屋の露天風呂も小さいながら十分満喫できました。ただ、大きいお風呂のロッカーの鍵が閉めにくかったのと、スリッパの番号札が少なくすぐになくなってしまいました。,2022/4/29
4340,お部屋から芦ノ湖が見えてテラスにも出られるので解放感がありました！お部屋も綺麗です。ただ、玄関が狭く扉を開けると靴がぶつかってしまうので金庫が入ってる扉を靴箱にすれば良いのにな…と思いました。夜のビュッフェは品揃えが多く、ステーキやデザートも美味しかったです。小さな子供も喜んで食べていました。朝は早い時間帯が混むと言われたので8時30に予約しましたが、行列ができ20分くらい待たされました。そのせいで食べ終わる時間には10時のチェックアウトギリギリになってしまい、バタバタで疲れてしまいました。早い時間から食べてる方をちゃんと時間でラスト時間を告げるなどして席を立ってもらうとか、チェックアウトの時間を11時にするとかして欲しかったです。,2022/4/27
4341,母娘旅行で利用しました。何より印象に残ったのは接客の良さです。スタッフは皆さん若くて外国の方もいらっしゃいましたが、気配り、笑顔、態度、全てどのスタッフも素晴らしかったです。お料理は品数も豊富でお味も美味しかったですが、はなをりらしさと言うか工夫や特徴の無いのが少し残念でした。　でも総じて快適でいいお宿でした。,2022/4/24
4342,佳ら久に行きます。初めてオリックスホテルズを利用させていただきました。接客　料理　風呂　全てにおいて申し分ありません。露天風呂付の部屋に泊まりましたが、広さもさることながら、スペースも充分　畳スペースも程よく癒されました。またアニバーサリー付でお願いしたので、妻も大満足でした。佳ら久　楽しみです。,2022/4/22
