口コミ,投稿日,preprocessed_text
檜風呂が湯治場風で、いかにも温泉に入っている感がしてよかったです。夕食もバイキング形式としては良質だと思います。それに比べて朝食はちょっと残念。洋食では、やっぱりスクランブルエッグやハム・ベーコンなどが欲しいところだし、和食では佃煮の類があればよかったかなと思いました。好みにもよるでしょうが、コーヒーも少し濃すぎると感じました。部屋は、南館だったのですが広くて寛げました。,2019-03-22,檜 湯治 場 風 感 夕食 バイキング 形式 良質 朝食 残念 洋食 スクランブル エッグ ハム ベーコン 和食 佃煮 類 好み コーヒー 南 館
建物自体、少し古さを感じるので、部屋は普通でした。受付で館内案内や注意事項などの説明があり、特に部屋まで案内してくれることはなかったですが、(ちょっぴりビジネスホテルっぽいと感じましたが)対応は丁寧でした。私の旅行の楽しみは一番に食事。美味しい料理をいっぱい食べたいと思って、バイキング形式の宿をわざわざ探して決めましたが、かなりガッカリでした。まず、客層が平日でしたが高校生〜大学生くらいの若者、子供が小学生以下の家族連れ、それと外国人が多く、レストラン内はすごく賑やか。落ち着かない。食事を取りに行っても、通路が狭く、人も多いのでゆっくり選んでいられない。ほとんど小鉢に盛られているので、すぐにお盆にのらなくなる。内容も夕食はいまいち。ステーキも小鉢に刺身１枚程度のものが一切れだけ。取りに行くだけでも大変だし、回収に来るまで小鉢がテーブルにたくさん。朝食は、もっとガッカリでした。味噌汁も率直に不味い。洋食のメインが細いハッシュドポテトと、ソーセージしかない。スクランブルエッグすらないのがショックでした。サラダのドレッシングも、青じそとフレンチだけ。家でも食べているものばかりで、何とも言えない残念感だけが残りました。,2019-03-21,建物 自体 普通 受付 館内 案内 注意 事項 説明 案内 ( ビジネス ホテル ) 丁寧 私 楽しみ 一番 食事 バイキング 形式 宿 客層 平日 高校生 〜 大学生 若者 子供 小学生 家族 連れ 外国 人 レストラン 内 賑やか 食事 通路 人 小鉢 お盆 内容 夕食 ステーキ 小鉢 刺身 枚 程度 切れ 取り 大変 回収 小鉢 テーブル たくさん 朝食 味噌汁 率直 洋食 メイン ハッシュドポテト ソーセージ スクランブル エッグ ショック サラダ ドレッシング 青じそ 家 残念 感
はじめて利用させていただきました。４月から長男が県外の大学へ進むため、記念の家族旅行でした。せっかくなので、広いお部屋でのんびりさせていただこう！と、デラックス和洋室をおねがいしました。もう、大満足でした！窓からの眺めもよく、本当にゆっくりゆったり過ごさせていただけました。到着が遅くなったので、食事時間が遅い時間しかなく、おなかがペコペコになりましたが、それも充分に満たしていただけました。ひとつひとつ小さな器に用意されているのは、選びやすく取りやすく食べやすく、とてもよかったです♪名物のアスパラのフライもおいしかったです☆ひとりひとり浴衣の袖をゴムでとめていただくサービスは嬉しかったです。温泉もとても気持ちよかったです♪♪♪また、機会がありましたらよろしくお願いいたします☆,2019-03-19,月 長男 県 外 大学 記念 家族 デラックス 和洋 室 おねがい 満足 窓 眺め 到着 食事 時間 時間 おなか 充分 ひとつひとつ 器 用意 ♪ 名物 アスパラ フライ ひとりひとり 浴衣 袖 ゴム サービス ♪♪♪ 機会 お願い
箱根宿泊は6年前、小涌谷近辺のホテルが最初でその後昨年、箱根湯本で2回、こちらは部屋に露天風呂があるところだったが、駐車場が狭く道が狭く不便だった。値段も内容より割高。そこで色々口コミを見ていたところリ・カーブ箱根が残った。今回はしばらく乗っていたロードスターRFを手放す前に、ターンパイクから箱根スカイラインとロードインプレッションを地で行こうと妻と相談して、一泊旅行を計画した。1日目は新東名120Kmを流して小田原まで、そこからターンパイクへGO。ただ、この日は風が強く途中のパーキングでの写真撮影も寒さで震えながら、とてもオープンで走れる状況でなく、2，3枚撮ったらすぐに車に乗り込み暖房にホットする、残念なターンパイクでした。その後27年振りに芦ノ湖の九頭竜神社から箱根関所まで寒風吹きすさぶなか、二人で歩いて観光。完全に体は冷え切り、ホテルへ直行。そして17時チェックインと同時に夕食タイム、ちょうどお腹も空いていたけど、荷物はフロントへ預けてバイキング会場へイン。冷えた体に熱燗で妻と二人乾杯、じわーっと体に染み込む。ホッと一息ついて、カニ（小さめ）だけど身はキッチリ入っていてgood。ちょうどいいサイズの器に盛られた料理、揚げたてのぶっといアスパラはシャキッと美味かった。その場で握ってくれるお寿司はネタの注文もできて満足。あっという間の９０分。ごちそうさまでした。やっと部屋に入ってみると、思ったより広く、ゆったりしていて２人掛けソファーで一息。さっそく温泉へ、寒い外での露天風呂ゆったり浸かってぬくぬく、きょう一日寒さで震えた体がじんわりとほぐされていく、いい湯でした。ツインのベットもちょうど良い硬さで枕も具合良く、羽布団も暖かく、ぐっすり眠ることができました。朝食はチェックインが遅かったせいで、６時４５分しか空いてなかったけど、普段から早い朝食なので問題なし。板さんが注文を聞いてから作る湯葉丼はワサビが効いて絶品でした、その他どれもおいしくて食べすぎました。口コミ通りたいへん満足したホテルでした。コスパ良し、次回もご厄介になろうと思います。,2019-03-18,"箱根 宿泊 年 前 小涌谷 近辺 ホテル 最初 その後 昨年 箱根湯本 回 駐車 場 道 不便 値段 内容 割高 口コミ リ・カーブ 箱根 ロード スター RF 前 ターンパイク 箱根 スカイライン ロード インプレッション 地 妻 相談 一泊 計画 日 目 新東名 Km 小田原 そこ ターンパイク GO 日 風 途中 パーキング 写真 撮影 オープン 状況 , 枚 車 暖房 ホット 残念 ターンパイク その後 年 振り 芦ノ湖 九頭竜 神社 箱根 関所 寒風 なか 人 観光 完全 体 ホテル 直行 チェックイン 夕食 タイム お腹 荷物 フロント バイキング 会場 イン 体 熱燗 妻 人 乾杯 ー 体 一息 カニ ( 小さめ ) 身 チリ good サイズ 器 揚げたて とい アスパラ シャキッ 場 寿司 ネタ 注文 満足 あっという間 分 ごちそうさま 人 ソファー 一息 外 きょう 日 体 じん わり 湯 ツイン ベット 枕 具合 羽布団 朝食 チェックイン せい 分 普段 朝食 問題 板 注文 湯葉 丼 ワサビ 絶品 その他 口コミ 通り 満足 ホテル コスパ 次回 厄介"
突然時間が取れたので初めて伺いました。お部屋は広くて大浴場の棟にあったのでお風呂に行くのに便利で良かったです。全体的にリーズナブルなホテルなので仕方ないと思いますが、バイキングの種類が朝夕共に少なく、飲み放題は男性2500円、女性2200円なのに飲める種類が少なくてガッカリでした。館内にお茶やアルコールの自販機があり、それは高くなく便利でした。,2019-03-15,時間 浴場 棟 便利 全体 的 リーズナブル ホテル 仕方 バイキング 種類 朝夕 共 放題 男性 円 女性 円 種類 館内 お茶 アルコール 自販機 便利
3世代7人で2部屋を予約。初めての宿なので、事前にクチコミを念入りにチェック！結論から言えば、満足出来ました。コストパフォーマンス以上でした。夕食は二部制（17:30と19:30）になっており、チェックイン順に決めれます。早く食べたい方は１２時から受付してますよ。１５時からのチェックインでは遅い食事になってしまうかも。小さい子供がいる方は注意。他のクチコミを見ると、かなり厳しい意見が有りますが、この料金でのサービス・設備・料理としては最高のものと思います。ただ一つ残念な事が有ります、他のクチコミでも指摘がありましたが、上の階の足音（走る音）がうるさかった！深夜１時です。巡回し改善すると言ってましたが出来てませんでした。又、利用したいので対策をしっかりとお願いします。,2019-03-15,世代 人 予約 宿 事前 クチコミ 念入り チェック 結論 満足 コストパフォーマンス 以上 夕食 部 制 ( : : ) チェックイン 順 受付 チェックイン 食事 子供 注意 他 クチコミ 意見 料金 サービス 設備 最高 残念 事 他 クチコミ 指摘 上 階 足音 ( 音 ) 深夜 巡回 改善 対策 お願い
和洋室はとっても広くて、11ヶ月の子供が動き回れてとっても楽しそうでした。清潔感もあり、安心してハイハイさせられました。仕方ないとは思いますが、バストイレが少し臭かったように思えます。夜のバイキングはアスパラ揚げやお寿司がおいしすぎて何回もおかわりしました。子供がうるさくしてしまって、申し訳ない気持ちでいっぱいでしたが、お寿司の担当の料理長らしき方が声を掛けてくださり、子供でも食べられる納豆巻きを小さく切ってくださいました。本当にお心遣いに感謝しています。また、朝食でも声を掛けてくださって、本当に嬉しかったです。温泉も気持ちよくポカポカになりました。是非また泊まりに行きたいです。,2019-03-14,和洋 室 ヶ月 子供 清潔 感 安心 ハイハイ 仕方 バス トイレ 夜 バイキング アスパラ 揚げ 寿司 回 かわり 子供 申し訳 気持ち 寿司 担当 長 声 くだ 子供 納豆 巻き 心遣い 感謝 朝食 声 泊まり
初めての宿泊でした。夕食バイキングと風呂を売りにされていたので決めました。宿泊した部屋は、北館の和洋室でした。６０m2の広さは、大人３名には勿体ない広さでしたが、両親も喜んでおりました。風呂は、北館１階だったので移動も楽でした。時間帯にもよるかも知れませんが、私が入った時は５名程しか居なく気持ち良く入浴出来ました。夕飯は、確かにすごいバイキング！色々あり選ぶのが楽しくなりました。あのアスパラフライは、絶品で結構食べました。寿司も言うことなく！食事に関して一つ言うなら、時間制なのは良いが、利用客が多すぎて席の周りを絶えず人が歩くので、落ち着けなかった事にマイナス評価しました。金額的な事やスタッフの動き、清潔感など申し分ありません。また宿泊させて頂きます。,2019-03-14,宿泊 夕食 バイキング 宿泊 北館 和洋 室 m 大人 名 両親 北館 階 移動 楽 時間 帯 私 名 入浴 夕飯 確か バイキング 色 アスパラ フライ 絶品 寿司 食事 時間 制 客 席 周り 人 事 マイナス 評価 金額 的 事 動き 清潔 感 申し分 宿泊
5歳の息子を連れて始めて箱根旅行。口コミで夕食の開始時間が遅くなる場合があると見ていたので、12時に一度ホテルへ行きチェックイン手続きだけしました。迅速に対応していただけたのでそこから箱根神社、水族館と楽しめました。手続きの際ルームキー交換用の紙をもらっていたのですが、16時頃ホテルに戻った時にフロントの列に並ばなくてはならなかったのが残念でした。手続きが済んでいる人にはキーだけ渡せるシステムがあると良いのでは？と思いました。夕食は多少の混雑はしましたが、評判通り美味しかったです。息子は蟹が気に入ってずっと食べていました。私はスープカレーがとても美味しく、おかわりまでして食べてしまいました。部屋にあった電気ケトルが壊れていましたがすぐに使えるものと交換していただけたので助かりました。設備は古いですが清潔に保たれていたので気持ちよく過ごせました。また箱根に行く際には利用させていただきます！,2019-03-14,歳 息子 箱根 口コミ 夕食 開始 時間 場合 度 ホテル チェックイン 手続き 迅速 そこ 箱根 神社 水族館 手続き 際 ルーム キー 交換 用 紙 頃 ホテル フロント 列 残念 手続き 人 キー システム ? 夕食 混雑 評判 通り 息子 蟹 私 スープ カレー かわり 電気 ケトル 交換 設備 清潔 箱根 際
クチコミよかったので、予約しました。だがチェックインの時、手続きをする担当はずっと厳しい目で10秒以上私たちの間を抜けて後ろを睨んでいました、家族全員その間お互い見たり、気まずかった。そして部屋へ案内されて、ドアを開けた瞬間、臭い匂いが鼻についた、お母さん気持ち悪いので、違う部屋チェンジしてもらったら、全部臭くなかった。食事もデザートみたいな小皿ばかり、あまり食べてないのに、お皿はテーブルいっぱいに、取るのが面倒です。ケチな感じを与えられました。温泉は白くて、すべすべ感じでよかったです。,2019-03-13,クチコミ 予約 チェックイン 手続き 担当 目 秒 以上 私 たち 間 後ろ 家族 全員 その間 お互い 案内 ドア 瞬間 匂い 鼻 お母さん 気持ち チェンジ 全部 食事 デザート 小皿 皿 テーブル いっぱい 面倒 ケチ 感じ 感じ
到着が夕飯時間ギリギリになりそうなことを連絡したところ、到着してすぐにご飯が食べられるようにいろいろとお気遣いいただき、とてもうれしかったです。食事会場のスタッフの方々も小さい子供達のことも気にかけてくださりとても温かい気持ちになりました。おもてなし精神に溢れておりとても気持ちよく過ごせました。ありがとうございました。,2019-03-12,到着 夕飯 時間 ギリギリ 連絡 到着 ご飯 お気 遣い 食事 会場 方々 子供 達 気 くだ 気持ち おもてなし 精神
クチコミで高評価だったので利用させていただきましたが、大人旅には向いていないと感じました。ファミリー向けです。良くも悪くも食事処、浴場はこどものはしゃぎ声であふれていますので、のんびりと箱根を楽しみたい大人には不向きと思います。夕食、朝食ともにビュッフェでしたが、高評価なわりにコスパ考慮すると普通…座席も勝手に指定されて連れが不機嫌になり、せっかくの食事タイムが台無しに…唯一の救いは温泉でしたが、良く見ると源泉使用ではあるものの、掛け流しではなく。でも気持ち良かったです。メイク落としがあればなお良しです。辛口コメントで申し訳ないですが、大人旅の利用には不向きです。部屋は清潔ですが、リゾートマンションをホテルにした感じです。壁が薄く、隣の部屋の物音が聞こえて熟睡できませんでした。,2019-03-11,クチコミ 評価 大人 旅 ファミリー 向け 食事 処 浴場 こども 声 箱根 大人 不向き 夕食 朝食 とも 評価 パ 考慮 普通 座席 勝手 指定 連れ 機嫌 食事 タイム 台無し 唯一 救い 源泉 使用 流し メイク 落とし 辛口 コメント 申し訳 大人 旅 不向き 清潔 リゾート マンション ホテル 感じ 壁 隣 物音 熟睡
スタッフの対応が素晴らしかったです。特にレストランのスタッフの方々はスマートなサービスをして下さり、気持ちよく食事ができました。バイキングのお料理も和洋中どれも美味しかったです。食事時間がチェックイン順に選べるというシステムなので、早めにまずはチェックインした方がよいですね。また泊まりたいと思います。,2019-03-10,レストラン 方々 スマート サービス 食事 バイキング 和洋 食事 時間 チェックイン 順 システム 早め チェックイン
家族旅行で使わせていただきました。夕食の串揚げ、ステーキと、朝食の湯葉とろご飯は目の前で調理していて美味しかった！です。朝食の時間が遅かったため仕方ないのですが、食べたい物が終わってしまって残念でした。食品ロスになるよりは良いと思います。部屋の窓が広く解放感とインテリアの清潔感を感じました。また利用したいです。,2019-03-10,家族 夕食 串 ステーキ 朝食 湯葉 ろ ご飯 目 前 調理 朝食 時間 仕方 物 残念 食品 ロス 窓 解放 感 インテリア 清潔 感
もう何年も前からのリピーターですが ブュッフェの内容が夕食も朝食も少しグレードダウンしてしまったように思います。名物のアスパラの肉巻きフライは相変わらず美味しいですが 品数が減りましたねっ。朝食の玉子料理はスクランブルエッグさえなくて玉子サンドに使う玉子サラダのみ...良かった点は夕食の時にアルコール飲み放題が別途付けられるようになった事今までは単品のアルコールが高かったので こちらはとても良かったです。また利用するかは...考えます。,2019-03-10,年 前 リピーター ブュッフェ 内容 夕食 朝食 グレード ダウン 名物 アスパラ 巻き フライ 朝食 玉子 スクランブル エッグ 玉子 サンド 玉子 サラダ ... 点 夕食 アルコール 放題 事 今 単品 アルコール ...
いつもは、夫婦で利用させていただいていますが、今回は友人ファミリーと一緒に利用させていただきました。毎回、何の不満もなく過ごさせていただいていましたが、今回は子供連れにも優しいお宿だとおもいました。食事も大満足していました。子連れの方にはプラス15分くらい多めの方が助かるのではないかと思いました。ありがとうございました。ただ、レストランで朝食時にお盆をなかなか片付けていただけなかったので、自分で持っていったら「片付けますから、置いておいて下さい」と強めの口調でした。びっくりしました。,2019-03-09,夫婦 友人 ファミリー 一緒 毎回 不満 子供 連れ 宿 食事 満足 子連れ プラス 分 多め レストラン 朝食 お盆 自分 口調 びっくり
10回以上お世話になっています。アスパラ巻きは外せません。どちらかと言えば和食が多く小鉢になってます。なんといっても大将の握ったお寿司はとても美味しいです。シャリがフワフワしていて何個食べても飽きないです。欲を言えばネタの種類がもう少しあるとうれいしいかな。お風呂も濁り湯は少し入っただけでからだが温まります。脱衣所も新しくなって綺麗になりました。要望として枕の改善をしていただければ嬉しい。ベットのスプリングが硬めなので。硬めと柔らかめ、2種類あれば選べます。,2019-03-09,回 以上 アスパラ 巻き どちら 和食 小鉢 大将 寿司 シャリ 個 欲 ネタ 種類 湯 脱衣 所 綺麗 要望 枕 改善 ベット スプリング 硬め 硬め 柔らか め 種類
温泉と夕食が好きでこのホテルに再訪しましたが、期待通りの１泊でした。温泉：檜風呂は大涌谷温泉のかけ流しで、大満足！　やっぱり箱根は大涌谷の温泉が一番。夕食：名物のアスパラの肉巻き揚げは何本食べたことだろうか！朝食：落ち着いてゆっくりと美味しい朝食をいただきました。部屋：広くて快適に過ごせます。アメニティも必要な物は揃っています。接客：落ち着いて対応してくれました。　予約後すぐに夕食開始時間についての連絡があり、助かりました。夕食時のスタッフはそれなりの人数が揃っていて、チェーン店のホテルに比べるとサービスは格段に上です。その他：夕食後は卓球を楽しませていただきました。,2019-03-06,夕食 好き ホテル 再訪 期待 通り 泊 : 檜 涌谷 かけ 満足 箱根 涌谷 一番 夕食 : 名物 アスパラ 巻き 揚げ 本 朝食 : 朝食 : 快適 アメニティ 必要 物 接客 : 予約 後 夕食 開始 時間 連絡 夕食 それなり 人数 チェーン 店 ホテル サービス 格段 上 その他 : 夕食 後 卓球
何度も利用していますが、温泉やバイキング、スタッフの対応はとても素晴らしいです。また利用させていただきます。,2019-03-04,度 バイキング
館内設備(お風呂、カラオケ、朝夕バイキング)全てにおいて大変満足しました。お料理も美味しかったし、お風呂も気持ち良かったです。,2019-03-04,館内 設備 ( カラオケ 朝夕 バイキング ) 全て 大変 満足
もう何度行ったか覚えてないくらい利用させてもらってます。お風呂にご飯に対応に全て素晴らしいです。また利用します。,2019-03-03,度 ご飯 全て
３回目の宿泊です。やはり源泉掛け流しの温泉は気持ちいいし揚げたてのアスパラガスは太くて美味しい今回は、１歳半の子を二人連れて行きましたが、一人食事前から寝てしまいました。部屋に帰って起きてお腹空いてグズグズ、売店も終わってしまいました。仕方なく、もう一度食堂に子どもを連れて行かせたところチビに食事させてもらえました。部屋も広くて和洋室ゆっくりできました。また計画したいとおもいます。,2019-03-02,回 目 宿泊 源泉 掛け 流し 揚げたて アスパラガス 歳 半 子 人 人 食事 前 お腹 売店 仕方 食堂 子ども チビ 食事 和洋 室 計画
先月に続き、またお世話になりました。気軽に泊まれる箱根の宿で、温泉でゆったりできました。小鉢が多いバイキングですが、どれもお味がよく、アスパラの一本揚げはいつもの楽しみです。前も思ったんですが、朝の牛乳が低脂肪乳なので残念。牛乳好きなので、ホテルなら普通のものが欲しいです。今回は部屋のスリッパが破れているのがありました。見た目にすぐわかるものが並んでいたのが残念です。しかし、お気に入りのホテルなので、またリピします。,2019-03-02,先月 気軽 箱根 宿 小鉢 バイキング 味 アスパラ 本 揚げ 楽しみ 前 朝 牛乳 脂肪 乳 残念 牛乳 好き ホテル 普通 スリッパ 見た目 残念 お気に入り ホテル リピ
今回親子二人旅での利用、清潔感もあり、接客も良く満足だったのですが、少々残念だったのが、露天風呂の解放感の無さでした。それと朝食時に新人らしき女の子を厳しく指導していた先輩社員の怒っている感じが気になりました。それ以外は山側の広めのお部屋でゆったり出来て、温泉の泉質もとても良く、お食事もシンプルで美味しく、またいつか利用したいと思いました。,2019-03-01,親子 人 旅 清潔 感 接客 満足 残念 解放 感 朝食 新人 女の子 指導 先輩 社員 感じ 気 以外 山側 広め 泉 質 食事 シンプル いつか
 車でホテルに行きました。到着してまず、敷地内駐車場が空いていないということで、敷地外を案内されました。分かりやすく丁寧でした。 チェックイン時に夕食が時間制とで、先着順で枠が埋まっていくシステムだったため、1番遅い時間になりました。スタッフの方がとても申し訳なさそうにされてましたが、2時間程時間があったので温泉にゆっくり入れてよかったと思います。 温泉は内湯と露天風呂どちらも良く、シーズンの関係か、混んでおらず、快適に入ることができました。 夕食は最後の時間だったので、ゆっくりといただくことができました。ビュッフェ形式だったので、最初は人が多く、また外国の方がマナーを分かっていないので、自分の箸で取ろうとしたりしていたのが気になりました。スタッフの方がその点についてはきちんと対応してくれていたので、安心することができました。ご飯はどれも美味しかったです。1品ずつ小皿になっていて、それも良かったと思います。 客室はとても清潔感がありました。経年による古さはあるものの全然気にならないくらい、きれいなお部屋でした。和洋室だったので、どちらも堪能できて本当によかったです。また利用したいと思いました。,2019-02-28,車 ホテル 到着 敷地 内 駐車 場 敷地 外 案内 丁寧 チェックイン 夕食 時間 制 先着 順 枠 システム 番 時間 申し訳 時間 時間 内湯 どちら シーズン 関係 快適 夕食 最後 時間 形式 最初 人 外国 マナー 自分 箸 気 点 安心 ご飯 品 小皿 客室 清潔 感 経年 気 きれい 和洋 室 どちら 堪能
内風呂も数種類あり、とてものんびり過ごせました！！4歳の娘もお風呂をかなりたのしんでおり、朝も入るー！とかなりお気に入りでした。こちらからお願いした訳ではないのに、娘がベッドで寝ても安全なようにベッドガードを到着時すでにご用意していただいていたりと、サービスも至れり尽くせりでした。そしてなんといっても夕食の豪華さ！アスパラとっても美味しかったです！！また是非うかがいたいと思います。,2019-02-26,内風呂 数種類 !! 歳 娘 朝 ー お気に入り お願い 訳 娘 ベッド 安全 ベッド ガード 到着 用意 サービス せり 夕食 豪華 アスパラ !!
小学生のお子連れなため会席などはあんま食べないもんで、バイキングがいいかなぁと思い、「カニ食べたい。生魚（寿司やら刺身）食べたい」ってことで、母はなんとなくカニが食べたく、温泉も濁り湯だしでこちらに決定いたしました。なんとなく決めたわりには・・・大正解でした！バイキングも大人が楽しめる感じで、なんて言うんでしょ、大皿から取ってくるってよりは会席料理みたいんであるちょっとした小さい器で置いてあり、しかもりんごの白和えとかすんごい凝ってて、バイキングより会席とかフレンチとかのコースがいい・・・って思ってたワタクシでも大満足です。名物であると思われるアスパラの揚げたやつとかものすごいおいしかったですし、一口ステーキなんかもやわらかくて、子どもお気に入りでした（もっとも刺身やら寿司やらカニばかり食ってましたが）。別料金にはなりますが、そこらへんの居酒屋と変わりないくらいの料金の飲み放題もあり、お酒を飲む我が家にとってはありがたかったです。普通のバイキングと比べたら、夕食朝食共に種類は少ないような気が一瞬するのですが、気がするだけでこのくらいが丁度いいんだろうなぁ・・というか、ツボはバッチリ抑えてるって感じでした。朝食時コーヒーを使い捨てのカップで部屋に持って帰れるのがとてもいいです。小皿のバイキングといい、これといい、ありそうでなかったアイデアだと感心してしまいました。仙石原とわりと箱根の奥地にはなりますが、バスでのアクセスはいいですし、コンビニもすぐ近く。芦ノ湖通ってぐるっと箱根回るにはわりと良い位置にあり、お湯もいいしお料理も美味しいしで。再来はありですね〜。ただバイキングとは言え、ハンバーグとかから揚げとか、言い方悪いですが子どもだましみたいなお料理はないので（その分大人は満足です）あんまりものすごい小さいお子さんには向いてないかもなぁと思いましたが、我が家は大満足です。未だに子どもは「また今度行きたい」と言います。近隣の某美術館行こうかとちょろっと話してたら、丁寧に「お安い前売り券ございますよ」と教えてくださってちょっとした気配りもうれしく、ホント感謝しております。,2019-02-25,小学生 子連れ 会席 あんま もん バイキング カニ 生魚 ( 寿司 刺身 ) 母 カニ 湯 だし 決定 わり 正解 バイキング 大人 感じ 大皿 会席 器 りんご 白和え ごい バイキング 会席 コース ワタ クシ 満足 名物 アスパラ やつ 一口 ステーキ 子ども お気に入り ( 刺身 寿司 カニ )。 別 料金 へん 居酒屋 料金 放題 酒 我が家 普通 バイキング 夕食 朝食 共 種類 気 一瞬 気 丁度 ツボ 感じ 朝食 コーヒー 使い捨て カップ 小皿 バイキング アイデア 感心 仙石原 わり 箱根 奥地 バス アクセス コンビニ 近く 芦ノ湖 箱根 わり 位置 お湯 いし 再来 〜。 バイキング ハンバーグ 言い方 子ども ( 大人 満足 ) お子さん 我が家 満足 子ども 今度 近隣 美術館 丁寧 前売り 券 気配り ホント 感謝
何時も、お世話になります、手軽に温泉が楽しめるので、利用させて頂いてます、近頃夕食の蟹が出ない時もあり残念です、それとグループ旅行が多いのか、露天とその前にある天然温泉風呂は、いつもグループが占領、私は主人と二人旅行お風呂は、一人なので入りにくいです、でもお値段からしてもサービス面や食事などトータルで、大満足です、またおじゃまさせて頂きます。,2019-02-25,何時 手軽 夕食 蟹 残念 グループ 露天 前 天然 グループ 占領 私 主人 人 人 値段 サービス 面 食事 トータル 満足 おじゃま
温泉旅行にて恋人と利用しました。夕食や朝食のバイキングは美味しかったです。不満があるとすれば、部屋の配置か壁の薄さがわかりませんが、隣の騒音が酷かったです。,2019-02-25,恋人 夕食 朝食 バイキング 不満 配置 壁 隣 騒音
温泉はとても良かったです。お料理も評判通り美味しかったです。小皿料理が多くあり  色々な種類を楽しめました。,2019-02-24,評判 通り 小皿 色々 種類
バイキング目当てで宿泊。部屋もスイートほどの広さがあり、子供が喜んでいました！バイキングは口コミ通り、種類も多く、味も良かったです！一つだけ残念だったことはバイキングの開始時間がチェックイン順だったため遅い時間しか空いていなかったこと。。。周辺で遊んでいたので知っていたら早くチェックインしたのに！！と思ってしまいました。それを差し引いても満足できました！また利用したいです！,2019-02-22,バイキング 目当て 宿泊 スイート 子供 バイキング 口コミ 通り 種類 味 残念 バイキング 開始 時間 チェックイン 順 時間 周辺 チェックイン !! 満足
部屋の中やトイレがやや異臭がありましたが、ご飯、お風呂はとても良かったです。,2019-02-21,トイレ 異臭 ご飯
特に接客に関して、特筆すべきものがありますね。とても勉強になったし、素敵な時間になりました。またお邪魔させていただきます！,2019-02-20,接客 特筆 勉強 素敵 時間 邪魔
土曜日で混んでいたとは思いますが、食事は時間で区切っているのでバイキング台に並んでなかなか食べられないということはありません。温泉も脱衣場も洗い場も多いので人が多くてもストレスは感じませんでした。暑苦しいおもてなしよりも聞けば丁寧に調べてくれたりするこちらのおもてなしが私は大好きです。ぜひまた朝の干物屋さんと一緒にお世話になります。,2019-02-20,土曜日 食事 時間 バイキング 台 脱衣 場 洗い場 人 ストレス おもてなし 丁寧 おもてなし 私 大好き 朝 干物 屋 一緒
1泊2日の箱根旅行で利用させていただきました。値段が安くて気になって利用したのですが、とにかく文句ないです！館内は特に不便はなく料理は最高に美味しかったです！お風呂も時間を気にする事なく利用でき、箱根の観光地までほとんど時間をかけずに行けるという立地から、コスパ最強で大満足でした！ぜひまた利用したいと思います！,2019-10-07,泊 日 箱根 値段 気 文句 館 内 不便 最高 時間 気 事 箱根 観光 地 時間 立地 パ 最強 満足
この価格で文句が言えるはずないです。館内は清潔に保たれていて(経年劣化は仕方ない)、夕食、朝食ともにバイキングは味が良く品数も私には十分でした。メインなしでも立派なバイキング内容です。また、硫黄の匂いがする温泉大浴場は最高です。広くはないですが内湯と露天があり泉質も良さそう。好きなシャンプーやコンディショナーを選べるサービスもありました。周りには何もない静かな環境なので、のんびり過ごすことが出来ました。リピート間違いなしです。悪いコメント書いている人は、なんなん？こんなコスパ良い宿なかなかないです。,2019-07-01,価格 文句 はず 館内 清潔 ( 経年 劣化 仕方 )、 夕食 朝食 とも バイキング 味 私 十分 メイン 立派 バイキング 内容 硫黄 匂い 浴場 最高 内湯 露天 泉 質 好き シャンプー コンディショナー サービス 周り 静か 環境 リピート 間違い コメント 人 なん なん ? コスパ 宿
箱根神社に行くために利用させて頂きました。車で行くには、箱根新道を箱根峠で降りるのがおすすめです。カーナビの案内だと途中で降りて、激しい山道を行くことになります。行きにあれだけ苦労したのに、帰り道はあっさり帰ることができました。宿ですが、とにかく静かでした。本当に他の客がいるのか？と思うくらいに大浴場に行ってもエレベーターに乗っても、誰とも顔を合わせることもなく…でしたが、食事の会場にはさすがにいました(笑)。焼きたてのパンがおいしいとの書き込みが多いですが、個人的には野菜スープもオススメです。清潔感のあるオシャレなバイキングです。箱根には、昔ながらの値段の高めの宿が多いですが、ここは値段も手頃で◎。温泉が滞在時間内は清掃が入ることもなく、夜通しで利用できるのもありがたいです。学生時代には箱根駅伝の応援に来た思い出の芦ノ湖を再び見ることができ、この時期の箱根もよいと思いました。また来まーす。,2019-06-16,箱根 神社 車 箱根 新道 箱根峠 カーナビ 案内 途中 山道 行き あれ 苦労 帰り道 宿 静か 他 客 ? 浴場 エレベーター 誰 顔 食事 会場 ( 笑 )。 焼き たて 書き込み 個人 的 野菜 スープ オススメ 清潔 感 オシャレ バイキング 箱根 値段 高め 宿 値段 手頃 滞在 時間 内 清掃 夜通し 学生 時代 箱根 駅伝 応援 思い出 芦ノ湖 時期 箱根 ー
お気に入りの宿で、何回か来ています。芦ノ湖が好きでよく来るのですが、ラクーンさんにお世話になることが多いです。気軽な値段で気軽に泊まれるところがとても気に入っています。スタッフの方も皆気さくで居心地がよく、温泉も独特の硫黄の香りが気に入っています。部屋は少し古いところがありますが、個人的にはあまり気になりません。値段も大変リーズナブルですしね。清潔感があり、良いと思います。ありがとうございました。,2019-06-09,お気に入り 宿 回 芦ノ湖 好き ラクーン 気軽 値段 気軽 皆 気さく 居心地 独特 硫黄 香り 個人 的 気 値段 大変 リーズナブル 清潔 感
