口コミ,投稿日
もう6回目の利用です。温泉好きなので、年に10回は温泉旅行に出かけます。高級旅館に泊まる事もありますので、高価な金額を出せばもっと良いホテル旅館は沢山あるのですが、2人で二万円程度でこのお料理と濁り湯が堪能出来るのは他にはありません。気軽に利用できます。今回はお部屋が空いていたとのことで、広めのお部屋に替えて下さいました。アスパラの肉巻きフライはジューシーで熱々をいつも美味しく頂いています。蟹も満腹になるほど頂きました。食べやすくカットしてあります。今回、白身魚の道明寺が美味しかったです。また利用させて頂きます。,2019-06-09
子供は駄菓子の詰め合わせプレゼントに大喜びでした。お部屋も広めでソファも気持ちよく利用出来た。夜のバイキングは凝りすぎてる感じで、お年寄りには大好評の様ですが、私たち中間世代には品数少なく、ぬたや道明寺など、the和な難しい名前の小鉢が大半でちょっと残念。カニとアスパラは最高だった。アスパラは根元まで水分たっぷりシャキシャキで甘くて美味しいのに残してる人多数目撃。食べ放題とはいえもったいないですね。根元まで大事に食べました。カニはほかの方がだんだん細くなってると愚痴られていました通り細めですが食べやすくカットされていたのでよかったです。エステなどは安めの設定でした。手間のかかった一品はよかったけど、身近な一品をもう少し増やしてもらえるとリピートしたいかな。でも目玉のアスパラが最高なので行くならそれ目当てです。コスパは良いと思う。,2019-06-06
接客は終始とても分かりやすく、素晴らしかったです。料理は、時間制限が設けられているのが気にかかりましたが、特に急いで食べることなく、お腹いっぱいおいしく食べられました。唐揚げなど、子供向けの物が2〜3品あると良かったです。部屋の方はほどよく広く、使い勝手は良かったです。しかし、トイレがアンモニア臭がしたり、証明、電球回りにホコリがビッシリついており、清掃不足だと思いました。ログアウトを済ませ、駐車場に停めていた車を見て、唖然としました。誘導板通りに1番奥まで降りて行き、右手の奥の木の下に停めたのですが、木から落ちたと思われる物や、鳥のフン、水あめのような粘着性のある物が車全体にビッシリとついており、悲惨な状況でした。自然な物なのでホテルの人には言いませんでしたが、この時期は木の下を封鎖しておかないと、大クレームをもらいかねません。その辺はショックが大きかったですが、それ以外は満足できたので、また利用したいと思います。,2019-06-02
4〜5回ほど泊まっていますが、何度泊まってもいい宿ですね。夕飯のアスパラは本当に美味しいです。他のどの料理もいいですね。ただ、平日でも混んでいたので、16:30にチェックインしたら、食事の時間は選択肢がなかったのは残念でした。お風呂は個人的には24時間入れると嬉しいですね。でもまた泊まりたいと思います。,2019-05-30
久しぶりに利用いたしました。スタッフの皆様も相変わらず対応が良く満足しました。しいて言えば前のお客様の飲み物が冷蔵庫に忘れていた位かと思います。製造スタッフの方々も見落としも有るかと思います。これからも素晴らしいサービスをお願い致します。,2019-05-28
ここのホテルは濁り湯の温泉がありとても気に入ってます。朝夕のブュッフェも美味しいです。お部屋は綺麗ですが、使えないコンセントがあったり、トイレが古かったりするのはちょっと難点です。,2019-05-27
いいホテルでしたサービスがたくさん・・かき氷 コーヒーが受付まちにいただけます風呂までがわかりにくかったです,2019-05-26
お料理の味付けがどれもおいしくて、温泉も濁り湯、朝食の受付のおじ様も楽しそうで感じが良くとても良いホテルでした。箱根に行く時はまた利用します。,2019-05-25
記念日のお祝いで家族で利用しました。食事は期待通りのクオリティで、どの料理もひと工夫あって美味しい。特に朝食のあんかけ湯葉飯が気に入りました。スタッフのサービスもきめ細やかで、バイキングでもとても快適に過ごせました。お風呂も広くて清潔で、サウナも付いているし何回も入ってしまいました。お部屋も広く快適でした。部屋のトイレの便座が古くなっていて歪んでいてちょっと使い辛かったです。ほぼパーフェクトですが、強いて言えば全体的に館内がちょっと古くなっているところがありましたね。人気のお宿なので消耗が激しいのかもしれませんが。とてもいい記念日を過ごすことができました。ありがとうございました。,2019-05-25
口コミが良かったのでこちらのホテルに宿泊させていただきだきました。 食事が美味しいという口コミ通り、種類も豊富で朝も夜も大変美味しく食べ過ぎてしまいました。アスパラ揚げ本当に大きくて食べ応えがありました！ お風呂もキレイに掃除されていて、脱衣所も広く気持ちよく使用することができました。 建物の古さを感じるところはありましたが、館内キレイに掃除も行き届いていて玄関などの大きなガラスがピカピカでした。 箱根へ行く際はまた、利用したいと思うホテルです。,2019-05-22
今回は、友人とのゴルフ旅行で宿泊しました。G.Wの最中のため料金は高めでしたが普段はとてもリーズナブルだと思います。家族旅行でも利用しています。いつ宿泊しても夕食のバイキングとお風呂は満足できます。朝食も朝６：４５から準備してくれるので、その日の予定にも間に合います。スタッフの対応もとても爽やかです。次回の仙石原方面の旅行でも利用するつもりです。,2019-05-15
リピーターです温泉 乳白色でやっぱり最高！昔来た時なかったのに、今回は大浴場の隣に源泉が！嬉しくて、一泊なのに3回も入りました、とても気持ち良かった。お部屋もすっごく清潔で 広くて使いやすく、とてもくつろげました。ただ 朝食のパンと、ジャムの種類がもっとあればいいのになー、と思いました少し残念に思ったのは、フロントにいる男性の方が もうちょっとにこやかに対応してくだされば‥と感じました。接客は女性の方のほうがいいのかも      でも又来たいです。,2019-05-14
伊豆も箱根も東京からも近くいつでも来られるという事で後回しの場所で、日帰りコースです。宿泊するととてものんびり出来ました。もっと早く来ていれば良かったです。ここはそんなのんびりするのに持って来いです。一番うれしいのは、バイキング式の夕食と朝食です。この値段でとても満足できました。もっと料理は少なくても良いと思います。食べきれません。その代わりあまり美味しくなかったデザートの質を上げて欲しいです。特にゼリーは堅すぎです。まぁ贅沢かもしれません。それでもスタッフの方の対応も良く、コスパは大変良いとおもいました。卓球はあれば、かならずやるのですが、全てのラケット使いづらいです。ぜひ直してほしいです。それから割引きチラシやチケットなど見えるところにおいて欲しいです。箱根観光コースをジャンル別に教えていただけたら嬉しいです。これらは希望です。とても良かったので総合評価は5とします。,2019-05-13
家族で宿泊しました。お部屋はとても広くて良かったのですが、少々臭いが気になりました。窓を開ければ換気できましたが、開けっぱなしにすると、ビュービュー音かうるさいし、寒いので、トイレの換気扇をもう少し強いものにしてほしいなぁと思いました。あと、フロント横のトイレに、オムツ代え台が無くて、少々困りました。夕食は90分で余るくらいでした。朝食50分、もう少し時間ほしいかな？と思いました。それ以外は最高でした。バイキング美味しかったです。,2019-05-12
母の日のプレゼントに娘が連れて行ってくれました。建物や設備に古さは否めないものの、綺麗に保つように努力されている感じでした。食いしん坊の母娘の目的の食事（バイキング）は大変満足できるものでした。小鉢に、地域の特産品や名物料理なども並んでいて、楽しく食べれました。小鉢は取りやすくて良いですね。食事時間が終わり近くになっても、欠品がなく沢山並んでいるのは気分が良かったです。感謝いたします。ただ、目玉であろう握り寿司はイマイチ。あれなら混ぜ込んだ散らし寿司のほうがいいかも。スタッフさんは、どこでも皆さん笑顔で感じが良かったです。到着後、美術館への行き方を訪ねた時に一言「お得な前売り券も用意がありますよ」と教えて頂ければ良かったかなと思います。戻ってきて案内を見てしまい、残念でした。総合的に満足でした。出来れば廊下のカーペットの張替えをされたら益々良いのかな、と思いました。,2019-05-12
必要充分か設備と食事内容、環境や温泉も良くてスタッフの対応も満足なとてもコストパフォーマンスの高い宿です。平日に連泊なんか出来たらいいなぁといつも思います。またゆっくりしに行きます。,2019-05-08
 毎年、リピート宿泊してます。 富士スピードウェイでのレース生観戦(予選）の後、車で向かっても、４５分もあれば、到着します。但し、仙石原すすきエリアからは、第２駐車場への看板が、バス通りからは見えないので、注意です。 〈部屋〉北館も南館も同タイプは変わらないです。ゆったりしてます。空気清浄機の貸出しもあるので、チェックイン時に伝えて下さい。 〈大浴場〉時間にもよりますが、ゆったり利用出来ます。温泉の泉質は、戻っておらず、薄いままです。 〈夕食〉この宿は、リピート宿泊のお客様が多いので、メニューに飽き無いよう、少しずつ工夫が分かるようになりました。スタッフの動きも向上しているように見えますね。 〈朝食〉種類が増えて、迷います。コーヒーの持ち出しも有難いですが、カップの蓋は××口が当たる部分が危ないです。 大型連休は、高いですが、全体的に古さは有りますが、皆さん、１度は利用して欲しいです。 スタッフさんには、隣県でも何万人も集まる周辺イベントの事前チェックもしておいて欲しいです。,2019-05-07
バイキングは、美味しい！建物、部屋は、綺麗！接客は、親切！0歳と2歳の子供を連れ、家族旅行。子供用のアメニティなどもあり、2歳の子供は大喜びでした！よい旅行が出来ました。,2019-05-04
建物、部屋は新しくないが、清潔であり、広々としている。夕食のビュッフェは少量に小分けしており取りやすく、とてもおいしかった。また、時間を分けているせいか、余り混まなくて良かった。風呂も内湯、源泉の檜風呂、露天風呂と色々有り、楽しめる。,2019-05-03
建物、設備等古さは感じるもののメンテナンスが行き届いており、気持ちよく過ごせました。ＧＷ中で家族連れが多かったですが常識的な家族が多く、ストレスなく過ごせました。,2019-05-03
ホテル近くの山に山登りに行った帰りに夫婦で宿泊しました。雨で寒かったので、チェックイン時間前にホテルに到着。まだ部屋には入れませんでしたが、荷物を預かってもらい、近所の観光名所を教えていただきました。翌日、バスのルートを訪ねると、丁寧に調べて下さり大変助かりました。風呂は広く、ゆったりと温泉を満喫することが出来ました。,2019-05-03
到着してウキウキ部屋に入ったが、いきなり室内用スリッパの数が足りなくてガックリ。部屋を見てみると、他にも浴衣、室外用スリッパの数も不足。お風呂用のカゴも壊れているものが混ざってて、ウキウキ感がすっかりさめた。部屋からの景色も向かいの建物の部屋と向かい合わせで気分良くなく、カーテンを開けて日差しをいれることもできなかった。年寄りが一緒だったが、室内トイレに行く時の段差が大きく、段から落ちかけて危なかった。ホテル内はバリアフリーのようだったが、肝心の部屋がバリアフリーでないのには驚いた。(トイレ用のスリッパなかったけど、これは普通？)和洋室だったが、和室には最初から布団がしかれていた。途中でホテルの人が入ってくる心配はないけど、和室でくつろげず、楽しみ半減した。食事は時間制。時間制にしなくともそれなりの料理の種類しかなく長居するほどでもなかったので、時間制にしてくつろぎ感を失わされたことにガッカリした。(予約したスタート時間に遅れて行くと、その分、食事時間がへるらしい)食事はおいしく、フロントの方は丁寧に教えてくれる感じのよい人もいたが、総合的には不満大。他の人が口コミで評価している点数と、行ってみての印象のあいだに、大きく開きがあるように感じた。,2019-05-01
5度目くらいの訪問です。今回はお風呂に近い部屋でとても便利でした。仕事の後に向かい夜の到着となりました。その日は祝日でホテル隣接の駐車場は満車との事、歩いて3分ほどの駐車場へ停める事となると聞き1人で向かいました。街灯はありましたが暗くて怖く1人で来た事を少し後悔しました。遅い到着の場合は駐車場は遠くなるのだと学びました。混んでいたせいかお風呂入り口の床が滑り易くなっていました。ご高齢の方は注意が必要かと感じました。食事も美味しく温泉も良くみなさん親切でした。,2019-04-30
3度目の利用です。チェックインの時間より少し早く着いてしまったのですが、快く応じてくれました。ワンランク上の部屋が空いているからと広い部屋に案内してくださり嬉しかったです！お風呂は大涌谷のにごり湯の源泉だけあって、とても気に入っています。食事は朝夕とも割烹料理風に品良く盛り付けられており食欲をそそられました。また利用したいお宿です。お世話になりました。,2019-04-30
今回姉と二人で利用させて頂きました。天気が悪く気持ちも落ち込みホテルに到着し、チェックインした際ホテルの方がスイトルームが空いていましたので、そちらに変更させて頂きました。との事でした。思ってもいなかった為びっくりしましたが、有り難くおもてなしに甘えてさせて頂きました。おかげ様で最高な旅行になりました。有り難うございました。またぜひ利用させて頂きます。,2019-04-29
家族で初めて利用しました。バイキングも美味しくてゆっくりできました。特に、朝食のフルーツは甘くてたくさんおかわりしました。,2019-04-29
食事がバイキング形式だったので、クオリティを心配していたが、どれもすごくおいしいくてお腹一杯になりました。コスパがすごいです。,2019-04-29
いつも利用させて頂いております。お気に入りは、部屋が広くて開放的なところ、朝夕のビュッフェが大変美味なところです。小さな子連れの方にも、最適なお宿だと推薦します。,2019-04-28
何度も利用しています。毎回とも、なにごとも良いと思います。朝夕のバイキングも相変わらず全てが美味しいです。何よりもスタッフの対応には、いつも癒されます。またうかがいたいと思います。,2019-04-26
期待していたにごり湯の温泉は良かったです。４月の下旬に利用しましたが、例年より気温が高かったので、露天風呂のお湯が丁度良かったです。部屋は思っていたより広くてくつろげました。ただエアコン(冷房)が使えなくて、風呂上がりや夜寝る時暑かったです。夕食のバイキング、アスパラフライは美味しかったけど根本にいくにつれ硬かったです。小皿に盛り付けられて色々少しづつも良かったですが、他に目玉と感じられる物が無く、物足りなかったです。朝食の湯葉丼は上品な薄味で、寝起きには良かったと思います。ただやはり何か物足りない感じがしました。食事の時間は他の方のコメントを読み、３時過ぎにチェックインしましたが、丁度良い時間は空いていなくて、夕食５時半朝食８時15分でした。食事会場の通路があまり広くなくて、２人並んで行きあうのが難しかったです。箱根は観光スポットが沢山あるので、今度は別のホテルにも泊まってみたいと思いました。,2019-04-26
かれこれ１０年以上は利用させていただいているリピーターです。今回は母のリクエストで数年ぶりに親子で宿泊しました。大浴場の脱衣棚が個々鍵付きになっていたり、ドレッサーが増設されていたりと色々設備が新しくなっており、さらに便利に安心して利用できました。フロント横にあるセーフティーボックスまで静脈認証の最新式でびっくり！大好きな檜の濁り湯も夕朝食のバイキングも大満足でしたし、スタッフさんの接客気配りもすばらしい。お天気が良かったので前売り券をフロントで購入し、早春の湿生花園を散歩がてら楽しみました。このリーズナブルなお値段で泊まれる最高のサービスだと思います。,2019-04-23
昔ながらの老舗なホテルでした。和室の部屋で広さは充分でした。ただ、部屋のお風呂はあまり綺麗とは言えなかったですが、温泉などもあるのでそちらを使えば満足だとは思います。夕食などは美味しかったです。,2019-04-22
夕食バイキングは、品数豊富。お風呂は、宿の規模からすると、ちと　しょぼいかな。値段も安いしお得感はあります。たくさん食べたい方　お勧めです。,2019-04-21
二度目の利用です。今回は介添え無しでは歩くことができない母も一緒でした。宿で車椅子を借りることができたので移動が助かりました。食事の時も車椅子利用の母や我々家族へ暖かく声かけをしてもらい、気兼ねなく美味しいバイキングを食べられました。アスパラの肉巻き一本揚げが、前回利用の秋よりも今回利用の春の方が断然美味しかった。旬の物って良いですね。掛け流しのお風呂ですが、手すりはありましたが浴槽が結構深く足腰が悪い母が利用するのに一苦労。他にも浴槽はありますが、やはり掛け流しのお風呂に入りたいものです。もう少し安全に利用できるようになると嬉しいです。,2019-04-19
箱根方面に出掛けた時は、何度か泊まりました。料理はブッフェスタイルで種類も豊かで楽しめます。お風呂は露天風呂もあり開放感があります。部屋の広さや種類も揃え様々な用途に対応できます。失敗のないホテルでしょう。,2019-04-17
この料金でこのサービスは満足でした。ただ部屋のお風呂に髪の毛があったのが気になったぐらいです。夜ご飯のバイキングもおいしく、朝食も満足でした。お風呂がもう少しあればよかったかなと、、また箱根に行く機会があればよろしくお願いします(^-^),2019-04-17
とにかく気持ちの良い接客でした。カニ食べ放題も満足でした！その他の料理は普通に美味しいです、立地も良いので観光には便利です！ありがとうございました！,2019-04-15
和洋室のお部屋にして大正解！とても広くて子供達が大喜びでした。4人で使用しましたがちょっと勿体無いと思うくらい。気になるのはお掃除行き届いていても古いせいか、水回りのサビやら水垢？が気になりました。夕食の小鉢に入っている料理は、種類も多く一口サイズの小鉢でいくつも食べられて大満足でオツマミにも良しでした。ただ、バイキングの為、混雑時期には客同士がぶつかりそうなスペースしかなく避けるのが大変でした。温泉も総合的には、とても良かったのですがお風呂のシャワーが一箇所、最大に熱くしてもヌルいままのところがあり、残念でした。スタッフさん達は、接客態度どれも素敵でした。星の王子さまミュージアムからすぐ近く周りにたくさん観光スポットがあって立地もとても良かったです。ありがとうございました。,2019-04-14
先日は大変お世話になりました。朝夕のバイキングは全てが食べやすいサイズで、バイキングならではのボソボソ感はなく大変満足でした！ただ、ドリンクの種類をもう少しだけ増やして頂ければ嬉しいです。温泉は内湯と露天であり、とても気持ち良く長風呂してしまいました。また利用したいと思います！,2019-04-13
よく利用させていただいています。相変わらず料理も美味しくてよかったです。子供も大喜びで、朝食の時間を超過してしまいましたが、優しくしていただきありがとうございました。,2019-04-13
   歩いて行ける所に、星の王子さまミュージアムがあり良かったです。今回の目的は、箱根駅伝ミュージアムだったのですが、ホテルから少しきょりがありました。マイカーなら問題ありません。   ホテルは大満足です！家族皆、リピートしたいと言っています。箱根では、定宿にしたいと思います。   温泉とバイキングが最高でした。食材が、新鮮で美味しかったです。,2019-04-11
家族旅行で利用しました。 夕食のバイキングは小皿で小分けにされていて色々食べられるのは子供には良いと思います。とても満足できたのでまた利用させて頂きます。,2019-04-09
数年ぶりに夫婦で伺いました。3時からのチェックインが待ちきれず、1時半くらいに到着仮チェックインさせていただき、晩朝の食事の時間を決めました。その時点で、6時スタートは満杯！結局5時半を選定しました。3時ちょっと前に部屋への入室開始。お部屋は若干の古さは隠せないものの、きれいにメンテしてあります。お風呂も相変わらずきれいにメンテしてあり、泉質には満足！都合三回はいりました。食事は、満足満足。毎回よく考えてあるなと思いました。スタッフの方々は、大変よく教育されており申し分ありません。リピーターの方が多いせいか、どのお客さんにも不要な説明は省き必要なら、詳しく説明する姿勢は評価されます。唯一気になったのは、エレベーターから部屋に向かう廊下の壁紙剥がれ？同じ高さの部位が連続しているので、清掃？などの道具を入れて部屋部屋を移動するワゴン？がぶつかった際のものと想定されますが、あまりきれいとはいえず、コレガ建物の古さを強調してしまう？のが残念でした。もし常連のお客さんが多いので、あまえている？のであれば、正すべきでしょう。誰にでもお勧めできる宿であって欲しいので、星一つ総合評価は期待を込めてマイナスします。なお、前回までは気にしていませんでしたが、部屋からのWIFI問題ありませんでした。（電波状態はあまりよくないので、携帯でのネット接続は部屋によってはつながりが悪いです。その点WIFIの電波はOKでした）,2019-04-08
夜ご飯がとても美味しかったです！カニ食べ放題はかなり嬉しい（*＾-＾*）ホテルの方達もいい人ばかりで楽しい旅行になりました！ありがとうございました,2019-04-08
子供椅子に待たせてチェックインしてたら子供の近くにずっと案内係りの人がいて見ていてくれました。浴衣上の子に借りる時、赤ちゃんにも大きいですが記念にって１枚付けてくれて、抱っこ中の赤ちゃんが手を伸ばして手続き邪魔するのをこっちならいいよ〜って他の紙を貸してくれました。お風呂は脱衣所が扇風機ガンガンで寒かったです入る前も後も…お風呂温度はちょうどいいし気持ちよかったです。あ！赤ちゃんはちゃんと部屋風呂に入れました。レストランの人は朝も夜も丁寧で子供に優しかったです。ご飯は１つずつは小さくて子供にちょうどいいサイズでした。売店の人、多分外国人さんだったけど丁寧で日本語上手でした。お部屋は広くてくつろげました。シーツも浴衣も穴空いてた。でも、接客が気持ち良かったからまた行きたいと思いました！,2019-04-08
何回か宿泊してますが、孫と二人は初なので一回娘達と泊まったし、ここに決めました。孫も、喜んでもらって、ゆっくりで来ました。,2019-04-07
初めて利用させて頂きました。口コミで拝見していた通り、部屋も広く快適で温泉もとても広くて温度もちょうど良かったです。バイキングは小鉢スタイルなので、混みあったり、列や待ち時間もさほど感じず、スマートに食事を楽しめました。部屋は所々清掃が行き届いてない箇所はありましたが、空間が広い為そこまでは気にせず済みました。浴場前の自動販売機でアイスを購入したかったのに、釣り銭が切れており購入出来ず、翌日も釣銭補充されておらず残念でした。他にも買いたくても諦めていた方が何人か居たので、管理して頂きたかったです。今回彼へのサプライズ旅行だったので、事前支払いで済んでいたのにも関わらず、チェックアウトの際に、二重請求されてしまい、彼にも金額がバレてしまった事。チェッイン時にも確認したのにも関わらず、大変不快に思いました。引き継ぎや伝達が全くなっていないなと。その他はコンビニやアウトレットも近く良かったです。,2019-04-05
夕飯は美味しかったし、部屋はうるさくないし、ゆとりがあって良かった。ただ、バイキングのステーキのサイズが小さすぎて面倒だった。,2019-04-05
"以前の書き込みにもありましたが16時40分に着きチェックインした所夕食は20時30分のみ朝食は6時40分か9時40分でした。これでは幼少の子供は無理ですね。夕食では寿司コーナーで前の人がネタの注文で戸惑っていたので私は列の前にあったアスパラ巻きを取りました。その後寿司は注文しないのに注文する列に並んでいた子供の所に戻りました。その途端、皆さん並んでるいるから5,6人待っている後ろから並んでと板前さんから注意をされる始末。出来れば人気のある夕食は離して配置して貰えれば寿司の列に並ばなくてアスパラ巻きだけでも取り易くなると思います。",2019-04-02
家族四人で春休みに利用しました。広目の部屋で部屋じたいは綺麗だし良かったのですが二階だったので景色が最高ではなかったかな。しかしながら夕食バイキングも朝食も大変美味しく、特にお寿司の所の方の接客が良く総合５点つけたいです。また、利用したいとおもいました。,2019-04-02
　三世代で利用させて頂きました。到着してウエルカムドリンクがあり、ありがたかったです。孫たちはゲームをしたり、みんなで卓球と楽しく遊べました。食事は時間制限の設定がありましたが、充分な時間でゆっくり食事が出来ました。種類も豊富でとても美味しかったです。特に朝食にあったあんかけご飯が絶妙に美味しかったです。　部屋は和室を利用。築年数は経っていると思いますが、掃除も行き届いていて気持ちよく過ごせました。　一点だけ気になったのは、女性の大浴場の床が滑りそうで危ないかな・・です。特に洗い場は女性ならではのボディソープやらシャンプーと沢山使うからか‥床のヌルヌル感が‥。　スタッフの方々は親切丁寧で気持ちよく過ごせました。また利用したいです。,2019-03-31
約4年ぶりに家族旅行を計画。鎌倉に行きたいとの事で箱根方面で宿探ししましたが、前回の印象が良かったのでまた利用させて頂きました。部屋は広く清潔感もあり、食事も大満足でした。また機会があれば利用させて頂きます。,2019-03-30
義母を連れての家族旅行で利用しました。温泉、食事、接客と凄く良かったです。おかげさまで日常を忘れのんびり過ごせました。また機会を作り伺います。,2019-03-28
家族、友人、7名3部屋の利用でした。スタッフの方は平均に感じが良かったです。温泉も良かった！連休中のわりに、コスパが良かったけど、リピーターにはならないと思う。,2019-03-27
子供が卒園したということで家族とお袋を連れての箱根旅行。こちらの宿にお世話になりました。自分・嫁・子供３人・お袋で宿泊した和洋室は広くとてもよかったです。またバイキングも子供達が好きなものを食べられ私たちも小皿がたくさんありいろいろなものが食べれました。味も満足！！またお風呂の露天風呂（温泉）が最高でした。湯の感じがとてもよく何回も入りました！唯一の不満点と言えば駐車場が狭いのと夕食のバイキングの際スタッフさんが忙しすぎてアルコールを頼むのを躊躇してしまうことくらいでその他は金額とも満足でした！！また箱根に行った際は必ず宿泊したい宿です！,2019-03-25
温泉はお湯がとても良いです。脱衣所も広く、アメニティも揃っていて助かりました。夕食時、テーブルに着いたら、お寿司の職人さんに言えばサビ抜きのお寿司も作って下さる旨を教えていただきました。子供が早速サビ抜きのお寿司を作ってもらい、満足していたようでした。心配りが素晴らしいと思いました。お声を掛けていただき、ありがとうございました。,2019-03-25
16時半にホテルに到着後、チェックイン開始までに15分待ち。ようやく手続きが始まったのですが、案内された食事時間は【夕食】20:30開始のみ【朝食】6:45開始、9:15開始の二択予約時のホテルからの質問欄には「食事時間は当日チェックイン先着順で空いている時間より選択。ご夕食が20時30分開始や時期により最終19時30分開始になる場合があります。」と書かれていますが、16時半到着で20:30を案内されると思う人がどれほどいるのでしょうか。フロントの方に「Webに書いてある」と説明を受けましたが、そもそも上記は宿泊条件であり、質問欄に書くことなのか、正直疑問があります。また、朝食時間に至っては、6時や9時台を案内されるリスクについて一切記載がありませんので、これは明記が必要と思います。あと、家族4人で10万円以上も支払ってこういう事態を招くなら、先着順自体も再考の余地があるように思います。しばらく選択もできずに困惑していると、夕食時間のみ「20:00枠」の案内がありました。チェックインするまでに15分、手続き自体にも15分を要した為、その後予定していた星の王子様ミュージアムには行けなくなり、夕食までの待ち時間がさらに長くなりました。あと、部屋の評価は個人的には4でしたが、浴衣を入れる引き出しがみごとに壊れていたので3。食事の評価はしかたなく1としましたが、味自体は3でした。,2019-03-24
檜風呂が湯治場風で、いかにも温泉に入っている感がしてよかったです。夕食もバイキング形式としては良質だと思います。それに比べて朝食はちょっと残念。洋食では、やっぱりスクランブルエッグやハム・ベーコンなどが欲しいところだし、和食では佃煮の類があればよかったかなと思いました。好みにもよるでしょうが、コーヒーも少し濃すぎると感じました。部屋は、南館だったのですが広くて寛げました。,2019-03-22
建物自体、少し古さを感じるので、部屋は普通でした。受付で館内案内や注意事項などの説明があり、特に部屋まで案内してくれることはなかったですが、(ちょっぴりビジネスホテルっぽいと感じましたが)対応は丁寧でした。私の旅行の楽しみは一番に食事。美味しい料理をいっぱい食べたいと思って、バイキング形式の宿をわざわざ探して決めましたが、かなりガッカリでした。まず、客層が平日でしたが高校生〜大学生くらいの若者、子供が小学生以下の家族連れ、それと外国人が多く、レストラン内はすごく賑やか。落ち着かない。食事を取りに行っても、通路が狭く、人も多いのでゆっくり選んでいられない。ほとんど小鉢に盛られているので、すぐにお盆にのらなくなる。内容も夕食はいまいち。ステーキも小鉢に刺身１枚程度のものが一切れだけ。取りに行くだけでも大変だし、回収に来るまで小鉢がテーブルにたくさん。朝食は、もっとガッカリでした。味噌汁も率直に不味い。洋食のメインが細いハッシュドポテトと、ソーセージしかない。スクランブルエッグすらないのがショックでした。サラダのドレッシングも、青じそとフレンチだけ。家でも食べているものばかりで、何とも言えない残念感だけが残りました。,2019-03-21
はじめて利用させていただきました。４月から長男が県外の大学へ進むため、記念の家族旅行でした。せっかくなので、広いお部屋でのんびりさせていただこう！と、デラックス和洋室をおねがいしました。もう、大満足でした！窓からの眺めもよく、本当にゆっくりゆったり過ごさせていただけました。到着が遅くなったので、食事時間が遅い時間しかなく、おなかがペコペコになりましたが、それも充分に満たしていただけました。ひとつひとつ小さな器に用意されているのは、選びやすく取りやすく食べやすく、とてもよかったです♪名物のアスパラのフライもおいしかったです☆ひとりひとり浴衣の袖をゴムでとめていただくサービスは嬉しかったです。温泉もとても気持ちよかったです♪♪♪また、機会がありましたらよろしくお願いいたします☆,2019-03-19
箱根宿泊は6年前、小涌谷近辺のホテルが最初でその後昨年、箱根湯本で2回、こちらは部屋に露天風呂があるところだったが、駐車場が狭く道が狭く不便だった。値段も内容より割高。そこで色々口コミを見ていたところリ・カーブ箱根が残った。今回はしばらく乗っていたロードスターRFを手放す前に、ターンパイクから箱根スカイラインとロードインプレッションを地で行こうと妻と相談して、一泊旅行を計画した。1日目は新東名120Kmを流して小田原まで、そこからターンパイクへGO。ただ、この日は風が強く途中のパーキングでの写真撮影も寒さで震えながら、とてもオープンで走れる状況でなく、2，3枚撮ったらすぐに車に乗り込み暖房にホットする、残念なターンパイクでした。その後27年振りに芦ノ湖の九頭竜神社から箱根関所まで寒風吹きすさぶなか、二人で歩いて観光。完全に体は冷え切り、ホテルへ直行。そして17時チェックインと同時に夕食タイム、ちょうどお腹も空いていたけど、荷物はフロントへ預けてバイキング会場へイン。冷えた体に熱燗で妻と二人乾杯、じわーっと体に染み込む。ホッと一息ついて、カニ（小さめ）だけど身はキッチリ入っていてgood。ちょうどいいサイズの器に盛られた料理、揚げたてのぶっといアスパラはシャキッと美味かった。その場で握ってくれるお寿司はネタの注文もできて満足。あっという間の９０分。ごちそうさまでした。やっと部屋に入ってみると、思ったより広く、ゆったりしていて２人掛けソファーで一息。さっそく温泉へ、寒い外での露天風呂ゆったり浸かってぬくぬく、きょう一日寒さで震えた体がじんわりとほぐされていく、いい湯でした。ツインのベットもちょうど良い硬さで枕も具合良く、羽布団も暖かく、ぐっすり眠ることができました。朝食はチェックインが遅かったせいで、６時４５分しか空いてなかったけど、普段から早い朝食なので問題なし。板さんが注文を聞いてから作る湯葉丼はワサビが効いて絶品でした、その他どれもおいしくて食べすぎました。口コミ通りたいへん満足したホテルでした。コスパ良し、次回もご厄介になろうと思います。,2019-03-18
突然時間が取れたので初めて伺いました。お部屋は広くて大浴場の棟にあったのでお風呂に行くのに便利で良かったです。全体的にリーズナブルなホテルなので仕方ないと思いますが、バイキングの種類が朝夕共に少なく、飲み放題は男性2500円、女性2200円なのに飲める種類が少なくてガッカリでした。館内にお茶やアルコールの自販機があり、それは高くなく便利でした。,2019-03-15
3世代7人で2部屋を予約。初めての宿なので、事前にクチコミを念入りにチェック！結論から言えば、満足出来ました。コストパフォーマンス以上でした。夕食は二部制（17:30と19:30）になっており、チェックイン順に決めれます。早く食べたい方は１２時から受付してますよ。１５時からのチェックインでは遅い食事になってしまうかも。小さい子供がいる方は注意。他のクチコミを見ると、かなり厳しい意見が有りますが、この料金でのサービス・設備・料理としては最高のものと思います。ただ一つ残念な事が有ります、他のクチコミでも指摘がありましたが、上の階の足音（走る音）がうるさかった！深夜１時です。巡回し改善すると言ってましたが出来てませんでした。又、利用したいので対策をしっかりとお願いします。,2019-03-15
